"Scripture","RCL ","Roman","Episcopal","Lutheran","United Methodist","Row Order"
"Proverbs 8:1-21; 9:4-6","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A",623
,"Easter Vigil B","Easter Vigil B","Easter Vigil B","Easter Vigil B","Easter Vigil B",624
,"Easter Vigil C","Easter Vigil C","Easter Vigil C","Easter Vigil C","Easter Vigil C",625
"Proverbs 9:1-6","Proper 15/ Ordinary 20B","Proper 15/ Ordinary 20B","Proper 15/ Ordinary 20B","Proper 15/ Ordinary 20B",,626
"Proverbs 22:1-23","Proper 18/ Ordinary 23B",,,,"Proper 18/ Ordinary 23B",627
"Proverbs 25:6-7","Proper 17C/ Ordinary 22C",,,"Proper 17C/ Ordinary 22C",,628
"Proverbs 31:10-31","Proper 20/ Ordinary 25B","Proper 28/ Ordinary 33A",,,"Proper 20/ Ordinary 25B",629
"Proverbs 1:20-33","Proper 19/ Ordinary 24B",,,,"Proper 19/ Ordinary 24B",630
"Proverbs 8:1-31","Trinity C","Trinity C",,"Trinity C","Trinity C",631
"Proverbs 8:1-21; 9:4-6","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A",632
,"Easter Vigil B","Easter Vigil B","Easter Vigil B","Easter Vigil B","Easter Vigil B",633
,"Easter Vigil C","Easter Vigil C","Easter Vigil C","Easter Vigil C","Easter Vigil C",634
"Proverbs 9:1-6","Proper 15/ Ordinary 20B","Proper 15/ Ordinary 20B","Proper 15/ Ordinary 20B","Proper 15/ Ordinary 20B",,635
"Proverbs 22:1-23","Proper 18/ Ordinary 23B",,,,"Proper 18/ Ordinary 23B",636
"Proverbs 25:6-7","Proper 17C/ Ordinary 22C",,,"Proper 17C/ Ordinary 22C",,637
"Proverbs 31:10-31","Proper 20/ Ordinary 25B","Proper 28/ Ordinary 33A",,,"Proper 20/ Ordinary 25B",638
"Ecclesiastes 1:2-14; 2:18-23","Proper 13C/ Ordinary 18C","Proper 13C/ Ordinary 18C","Proper 13C/ Ordinary 18C","Proper 13C/ Ordinary 18C",,639
"Ecclesiastes 3:1-13","New Year A","New Year A","New Year A","New Year A","New Year A",640
,"New Year B","New Year B","New Year B","New Year B","New Year B",641
,"New Year C","New Year C","New Year C","New Year C","New Year C",642
"Song of Solomon 2:8-13","Proper 9A/ Ordinary 14A",,,,"Proper 17/ Ordinary 22B",643
,"Proper 17/ Ordinary 22B",,,,,644
"Isaiah 1:1-20","Proper 14C/ Ordinary 19C",,"Proper 26C/ Ordinary 31C","Proper 26C/ Ordinary 31C","Proper 14C/ Ordinary 19C",645
,"Proper 26C/ Ordinary 31C",,,,,646
"Isaiah 2:1-5","Advent 1A","Advent 1A","Advent 1A","Advent 1A","Advent 1A",647
"Isaiah 2:10-17",,"Proper 8A/ Ordinary 13A",,,,648
"Isaiah 4:2-6","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A",649
,"Easter Vigil B","Easter Vigil B","Easter Vigil B","Easter Vigil B","Easter Vigil B",650
,"Easter Vigil C","Easter Vigil C","Easter Vigil C","Easter Vigil C","Easter Vigil C",651
"Isaiah 5:1-7","Proper 22A/ Ordinary 27A","Proper 22A/ Ordinary 27A","Proper 22A/ Ordinary 27A","Proper 22A/ Ordinary 27A","Proper 15C/ Ordinary 20C",652
,"Proper 15C/ Ordinary 20C",,,,,653
"Isaiah 6:1-13","Trinity B","Epiphany 5C","Trinity C","Trinity B","Trinity B",654
,"Epiphany 5C",,,"Epiphany 5C","Epiphany 5C",655
"Isaiah 7:10-17","Advent 4A","Advent 4A","Advent 4A","Advent 4A","Advent 4A",656
"Isaiah 8:23 - 9:3",,"Epiphany 3A",,,,657
"Isaiah 9:1-4","Epiphany 3A",,,"Epiphany 3A","Epiphany 3A",658
"Isaiah 9:2-7","Christmas Eve/Day A","Christmas Midnight A","Christmas Day 1A","Christmas Eve A","Christmas Eve A",659
,"Christmas Eve/Day B","Christmas Midnight B","Christmas Day 1B","Christmas Eve B","Christmas Eve B",660
,"Christmas Eve/Day C","Christmas Midnight C","Christmas Day 1C","Christmas Eve C","Christmas Eve C",661
"Isaiah 11:1-10","Advent 2A","Advent 2A","Advent 2A","Advent 2A","Advent 2A",662
"Isaiah 12","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A",663
,"Easter Vigil B","Baptism B","Easter Vigil B","Easter Vigil B","Easter Vigil B",664
,"Advent 3C","Easter Vigil B","Easter Vigil C","Advent 3C","Advent 3C",665
,"Easter Vigil C","Advent 3C",,"Easter Vigil C","Easter Vigil C",666
,"Proper 28C/ Ordinary 33C","Easter Vigil C",,,"Proper 28C/ Ordinary 33C",667
"Isaiah 22:15-26",,"Proper 16A/ Ordinary 21A",,,,668
"Isaiah 25:1-10","Easter Evening A","Easter Evening A","Proper 23/ Ordinary 28A","Easter Evening A","Easter Evening A",669
,"Proper 23/ Ordinary 28A","Proper 23/ Ordinary 28A","Easter Day B","Proper 23/ Ordinary 28A","Easter Evening B",670
,"Easter Day B","Easter Evening B",,"Easter Day B","All Saints B",671
,"Easter Evening B","Easter Evening C",,"Easter Evening B","Easter Evening C",672
,"All Saints B",,,"Easter Evening C",,673
,"Easter Evening C",,,,,674
"Isaiah 26:2-19",,,"Easter 2B",,,675
"Isaiah 28:14-22",,,"Proper 16C/ Ordinary 21C",,,676
"Isaiah 35:1-10","Advent 3A","Advent 3A","Advent 3A","Advent 3A","Advent 3A",677
,"Proper 18/ Ordinary 23B","Proper 18/ Ordinary 23B","Proper 18/ Ordinary 23B","Proper 18/ Ordinary 23B",,678
"Isaiah 40:1-11","Advent 2B","Advent 2B","Advent 2B","Advent 2B","Advent 2B",679
"Isaiah 40:21-31","Epiphany 5B",,,"Epiphany 5B","Epiphany 5B",680
"Isaiah 41:17-21",,,"Easter 6A",,,681
"Isaiah 42:1-9","Baptism A","Baptism A","Baptism A","Baptism A","Baptism A",682
,"Holy Week Monday A","Holy Week Monday A","Holy Week Monday A","Holy Week Monday A","Holy Week Monday A",683
,"Holy Week Monday B","Baptism B","Baptism B","Holy Week Monday B","Holy Week Monday B",684
,"Holy Week Monday C","Holy Week Monday B","Holy Week Monday B","Holy Week Monday C","Holy Week Monday C",685
,,"Baptism C","Baptism C",,,686
,,"Holy Week Monday C","Holy Week Monday C",,,687
"Isaiah 43:1-7","Baptism C",,,"Baptism C","Baptism C",688
"Isaiah 43:16-21","Lent 5C","Lent 5C","Lent 5C","Lent 5C","Lent 5C",689
"Isaiah 43:18-25","Epiphany 7B","Epiphany 7B","Epiphany 7B","Epiphany 7B","Epiphany 7B",690
"Isaiah 44:1-8","Proper 11A/ Ordinary 16A",,"Pentecost B","Proper 11A/ Ordinary 16A",,691
"Isaiah 45:1-7","Proper 24/ Ordinary 29A","Proper 24/ Ordinary 29A","Proper 24/ Ordinary 29A","Proper 24/ Ordinary 29A",,692
"Isaiah 45:11-19",,,"Easter 6B",,,693
"Isaiah 45:21-25",,,"Passion A",,,694
,,,"Passion B",,,695
,,,"Passion C",,,696
"Isaiah 49:1-7","Epiphany 2A","Epiphany 2A","Epiphany 2A","Epiphany 2A","Epiphany 2A",697
,"Holy Week Tuesday A","Holy Week Tuesday A","Holy Week Tuesday A","Holy Week Tuesday A","Holy Week Tuesday A",698
,"Holy Week Tuesday B","Holy Week Tuesday B","Holy Week Tuesday B","Holy Week Tuesday B","Holy Week Tuesday B",699
,"Holy Week Tuesday C","Holy Week Tuesday C","Holy Week Tuesday C","Holy Week Tuesday C","Holy Week Tuesday C",700
,,"Proper 7C/ Ordinary 12C",,,,701
"Isaiah 49:8-16","Epiphany 8A","Epiphany 8A","Epiphany 8A","Epiphany 8A","Epiphany 8A",702
"Isaiah 50:4-9","Passion A","Passion A","Holy Week Wednesday A","Passion A","Passion A",703
,"Holy Week Wednesday A","Holy Week Wednesday A","Holy Week Wednesday B","Holy Week Wednesday A","Holy Week Wednesday A",704
,"Passion B","Passion B","Proper 19/ Ordinary 24B","Passion B","Passion B",705
,"Holy Week Wednesday B","Holy Week Wednesday B","Holy Week Wednesday C","Holy Week Wednesday B","Holy Week Wednesday B",706
,"Proper 19/ Ordinary 24B","Proper 19/ Ordinary 24B",,"Proper 19/ Ordinary 24B","Passion C",707
,"Passion C","Passion C",,"Passion C","Holy Week Wednesday C",708
,"Holy Week Wednesday C","Holy Week Wednesday C",,"Holy Week Wednesday C",,709
"Isaiah 51:1-11","Proper 16A/ Ordinary 21A",,"Proper 16A/ Ordinary 21A","Proper 16A/ Ordinary 21A",,710
,,,"Easter Day C",,,711
"Isaiah 52:1 - 53:12","Christmas Eve/Day A","Christmas Day A","Christmas Day 3A","Christmas Day A","Christmas Day A",712
,"Good Friday A","Good Friday A","Passion A","Good Friday A","Good Friday A",713
,"Christmas Eve/Day B","Christmas Day B","Good Friday A","Christmas Day B","Christmas Day B",714
,"Good Friday B","Good Friday B","Christmas Day 3B","Good Friday B","Good Friday B",715
,"Proper 24B/ Ordinary 29B","Proper 24B/ Ordinary 29B","Passion B","Proper 24B/ Ordinary 29B","Christmas Day C",716
,"Christmas Eve/Day C","Christmas Day C","Good Friday B","Christmas Day C","Good Friday C",717
,"Good Friday C","Good Friday C","Proper 24B/ Ordinary 29B","Good Friday C",,718
,,,"Christmas Day 3C",,,719
,,,"Passion C",,,720
,,,"Good Friday C",,,721
"Isaiah 54:5-14","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A",722
,"Easter Vigil B","Easter Vigil B","Easter Vigil B","Easter Vigil B","Easter Vigil B",723
,"Easter Vigil C","Easter Vigil C","Easter Vigil C","Easter Vigil C","Easter Vigil C",724
"Isaiah 55:1-13","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A",725
,"Proper 10A/ Ordinary 15A","Proper 10A/ Ordinary 15A","Proper 10A/ Ordinary 15A","Proper 10A/ Ordinary 15A","Easter Vigil B",726
,"Proper 13A/ Ordinary 18A","Proper 13A/ Ordinary 18A","Easter Vigil B","Proper 13A/ Ordinary 18A","Epiphany 8C",727
,"Easter Vigil B","Proper 20/ Ordinary 25A","Easter Vigil C","Easter Vigil B","Lent 3C",728
,"Epiphany 8C","Baptism B",,"Epiphany 8C","Easter Vigil C",729
,"Lent 3C","Easter Vigil B",,"Lent 3C",,730
,"Easter Vigil C","Easter Vigil C",,"Easter Vigil C",,731
"Isaiah 56:1-8","Proper 15A/ Ordinary 20A",,"Proper 15A/ Ordinary 20A","Proper 15A/ Ordinary 20A",,732
"Isaiah 57:14-21",,,"Proper 11/ Ordinary 16B",,,733
"Isaiah 58:1-12","Epiphany 5A","Epiphany 5A","Ash Wednesday A","Epiphany 5A","Epiphany 5A",734
,"Ash Wednesday A",,"Ash Wednesday B","Ash Wednesday A",,735
,"Ash Wednesday B",,"Ash Wednesday C","Ash Wednesday B",,736
,"Ash Wednesday C",,,"Ash Wednesday C",,737
,"Proper 16C/ Ordinary 21C",,,"Proper 16C/ Ordinary 21C",,738
"Isaiah 58:9-14",,,,,,739
"Isaiah 59:1-19",,,"Proper 25B/ Ordinary 30B",,,740
"Isaiah 60:1-9","Epiphany A","Epiphany A","Epiphany A","Epiphany A","Epiphany A",741
,"Epiphany B","Epiphany B","Epiphany B","Epiphany B","Epiphany B",742
,"Epiphany C","Epiphany C","Epiphany C","Epiphany C","Epiphany C",743
"Isaiah 61:1-11","Advent 3B","Advent 3B",,"Advent 3B","Advent 3B",744
"Isaiah 61:10 - 62:3","Christmas 1B",,"Christmas 1A","Christmas 1B","Christmas 1B",745
,,,"Christmas 1B",,,746
,,,"Christmas 1C",,,747
"Isaiah 62:1-5","Epiphany 2C","Epiphany 2C","Epiphany 2C","Epiphany 2C","Epiphany 2C",748
"Isaiah 62:6-12","Christmas Eve/Day A","Christmas Dawn A","Christmas Day 2A","Christmas Dawn A",,749
,"Christmas Eve/Day B","Christmas Dawn B","Christmas Day 2B","Christmas Dawn B",,750
,"Christmas Eve/Day C","Christmas Dawn C","Christmas Day 2C","Christmas Dawn C",,751
"Isaiah 63:7-9","Christmas 1A",,,"Christmas 1A","Christmas 1A",752
"Isaiah 63:16-19",,"Advent 1B",,,,753
"Isaiah 64:1-9","Advent 1B","Advent 1B","Advent 1B","Advent 1B","Advent 1B",754
"Isaiah 65:1-9","Proper 7C/ Ordinary 12C",,,"Proper 7C/ Ordinary 12C",,755
"Isaiah 65:17-25","Easter Day C","Proper 16C/ Ordinary 21C","Advent 3B","Easter Day C","Proper 28C/ Ordinary 33C",756
,"Proper 28C/ Ordinary 33C",,,,,757
"Isaiah 66:10-16","Proper 9C/ Ordinary 14C","Proper 9C/ Ordinary 14C","Proper 9C/ Ordinary 14C","Proper 9C/ Ordinary 14C",,758
"Isaiah 66:18-21",,,,,,759
"Jeremiah 1:4-19","Epiphany 4C","Epiphany 4C","Epiphany 4C","Epiphany 4C","Epiphany 4C",760
,"Proper 16C/ Ordinary 21C",,,,"Proper 16C/ Ordinary 21C",761
"Jeremiah 2:4-13","Proper 17C/ Ordinary 22C",,,,"Proper 17C/ Ordinary 22C",762
"Jeremiah 3:21 - 4:2",,,"Epiphany 3B",,,763
"Jeremiah 4:11-28","Proper 19C/ Ordinary 24C",,,,"Proper 19C/ Ordinary 24C",764
"Jeremiah 7:1-15",,,"Epiphany 8C",,,765
"Jeremiah 8:18 - 9:1","Proper 20C/ Ordinary 25C",,,,"Proper 20C/ Ordinary 25C",766
"Jeremiah 11:18-20","Proper 20/ Ordinary 25B",,,"Proper 20/ Ordinary 25B",,767
"Jeremiah 14:1-22","Proper 25C/ Ordinary 30C",,"Proper 25C/ Ordinary 30C","Proper 25C/ Ordinary 30C",,768
"Jeremiah 15:15-21","Proper 17A/ Ordinary 22A",,"Proper 17A/ Ordinary 22A","Proper 17A/ Ordinary 22A",,769
"Jeremiah 17:5-10","Epiphany 6C","Epiphany 6C","Epiphany 6C","Epiphany 6C","Epiphany 6C",770
"Jeremiah 18:1-11","Proper 18C/ Ordinary 23C",,,,"Proper 18C/ Ordinary 23C",771
"Jeremiah 20:7-13","Proper 7A/ Ordinary 12A","Proper 7A/ Ordinary 12A","Proper 7A/ Ordinary 12A","Proper 7A/ Ordinary 12A",,772
,,"Proper 17A/ Ordinary 22A",,,,773
"Jeremiah 23:1-16","Proper 11/ Ordinary 16B","Proper 11/ Ordinary 16B","Christ the King C","Proper 11/ Ordinary 16B","Christ the King C",774
,"Christ the King C",,,"Christ the King C",,775
"Jeremiah 23:23-29","Proper 15C/ Ordinary 20C",,"Proper 15C/ Ordinary 20C","Proper 15C/ Ordinary 20C",,776
"Jeremiah 28:5-9","Proper 8A/ Ordinary 13A",,,"Proper 8A/ Ordinary 13A",,777
"Jeremiah 29:1-7","Proper 23C/ Ordinary 28C",,,,"Proper 23C/ Ordinary 28C",778
"Jeremiah 31:1-6","Easter Day A",,,"Easter Day A",,779
"Jeremiah 31:7-14","Christmas 2A",,"Christmas 2A","Christmas 2A","Christmas 2A",780
,"Christmas 2B",,"Christmas 2B","Christmas 2B","Christmas 2B",781
,"Christmas 2C",,"Christmas 2C","Christmas 2C","Christmas 2C",782
"Jeremiah 31:27-34","Lent 5B","Lent 5B","Lent 5B","Lent 5B","Lent 5B",783
,"Proper 25B/ Ordinary 30B","Proper 25B/ Ordinary 30B",,"Proper 25B/ Ordinary 30B","Proper24C/ Ordinary 29C",784
,"Proper24C/ Ordinary 29C",,,,,785
"Jeremiah 32:1-15","Proper 21C/ Ordinary 26C",,,,"Proper 21C/ Ordinary 26C",786
"Jeremiah 32:36-41",,,"Easter 3C",,,787
"Jeremiah 33:14-16","Advent 1C","Advent 1C",,"Advent 1C","Advent 1C",788
"Jeremiah 38:4-10",,"Proper 15C/ Ordinary 20C",,,,789
"Lamentations 1:1-6","Proper 22C/ Ordinary 27C",,,,"Proper 22C/ Ordinary 27C",790
"Lamentations 3:1-24","Holy Saturday A","Holy Saturday A",,"Holy Saturday A","Holy Saturday A",791
,"Holy Saturday B","Holy Saturday B",,"Holy Saturday B","Holy Saturday B",792
,"Holy Saturday C","Holy Saturday C",,"Holy Saturday C","Holy Saturday C",793
"Lamentations 3:19-26","Proper 22C/ Ordinary 27C",,,,,794
"Lamentations 3:22-33",,,,"Proper 8/ Ordinary 13B",,795
"Ezekiel 2:1-7","Proper 9/ Ordinary 14B","Proper 9/ Ordinary 14B","Proper 9/ Ordinary 14B","Proper 9/ Ordinary 14B",,796
"Ezekiel 11:17-20",,,"Pentecost A",,,797
"Ezekiel 17:22-24","Proper 6/ Ordinary 11B","Proper 6/ Ordinary 11B",,"Proper 6/ Ordinary 11B",,798
"Ezekiel 18:1-32","Proper 21/ Ordinary 26A","Proper 21/ Ordinary 26A","Proper 21/ Ordinary 26A","Proper 21/ Ordinary 26A",,799
"Ezekiel 31:1-14",,,"Proper 6/ Ordinary 11B",,,800
"Ezekiel 33:1-11","Proper 18/ Ordinary 23A","Proper 18/ Ordinary 23A","Proper 18/ Ordinary 23A","Proper 18/ Ordinary 23A",,801
"Ezekiel 34:1-10",,,"Easter 4B",,,802
"Ezekiel 34:11-24","Christ the King A","Christ the King A","Christ the King A","Christ the King A","Christ the King A",803
"Ezekiel 36:16-28","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A",804
,"Easter Vigil B","Easter Vigil B","Easter Vigil B","Easter Vigil B","Easter Vigil B",805
,"Easter Vigil C","Easter Vigil C","Easter Vigil C","Easter Vigil C","Easter Vigil C",806
"Ezekiel 37:1-14","Lent 5A","Lent 5A","Lent 5A","Lent 5A","Lent 5A",807
,"Easter Vigil A",,"Easter Vigil A","Easter Vigil A","Easter Vigil A",808
,"Easter Vigil B",,"Easter Vigil B","Easter Vigil B","Easter Vigil B",809
,"Pentecost B",,"Easter Vigil C","Easter Vigil C","Easter Vigil C",810
,"Easter Vigil C",,,"Pentecost B",,811
"Daniel 7:1-18","Christ the King B","Transfiguration A","Ascension A","Christ the King B","All Saints C",812
,"All Saints C","Transfiguration B","Ascension B","All Saints C",,813
,,"Christ the King B","Christ the King B",,,814
,,,"Ascension C",,,815
"Daniel 12:1-13","Proper 28B/ Ordinary 33B","Proper 28B/ Ordinary 33B","Easter Evening A","Proper 28B/ Ordinary 33B",,816
,,,"Easter Evening B",,,817
,,,"Proper 28B/ Ordinary 33B",,,818
,,,"Easter Evening C",,,819
"Hosea 1:2-10","Proper 12C/ Ordinary 17C",,,,"Proper 12C/ Ordinary 17C",820
"Hosea 2:14-22","Epiphany 8B","Epiphany 8B","Epiphany 8B","Epiphany 8B","Epiphany 8B",821
"Hosea 5:15 - 6:6","Proper 5A/ Ordinary 10A","Proper 5A/ Ordinary 10A","Proper 5A/ Ordinary 10A","Proper 5A/ Ordinary 10A",,822
"Hosea 11:1-11","Proper 13C/ Ordinary 18C",,,,"Proper 13C/ Ordinary 18C",823
"Joel 2:1-18","Ash Wednesday A","Ash Wednesday A","Ash Wednesday A","Ash Wednesday A","Ash Wednesday A",824
,"Ash Wednesday B","Ash Wednesday B","Ash Wednesday B","Ash Wednesday B","Ash Wednesday B",825
,"Ash Wednesday C","Ash Wednesday C","Ash Wednesday C","Ash Wednesday C","Ash Wednesday C",826
"Joel 2:21-27","Thanksgiving B",,"Easter 6C","Thanksgiving B","Thanksgiving B",827
"Joel 2:23-32","Proper 25C/ Ordinary 30C",,"Pentecost C",,"Proper 25C/ Ordinary 30C",828
"Amos 3:1-8",,,"Epiphany 3A",,,829
"Amos 5:6-15","Proper 23B/ Ordinary 28B",,"Proper 23B/ Ordinary 28B","Proper 23B/ Ordinary 28B",,830
"Amos 5:18-24","Proper 27/ Ordinary 32A",,"Proper 27/ Ordinary 32A","Proper 27/ Ordinary 32A",,831
"Amos 6:1-7","Proper 21C/ Ordinary 26C","Proper 21C/ Ordinary 26C","Proper 21C/ Ordinary 26C","Proper 21C/ Ordinary 26C",,832
"Amos 7:7-17","Proper 10B/ Ordinary 15B","Proper 10B/ Ordinary 15B","Proper 10B/ Ordinary 15B","Proper 10B/ Ordinary 15B","Proper 10C/ Ordinary 15C",833
,"Proper 10C/ Ordinary 15C",,,,,834
"Amos 8:1-12","Proper 11C/ Ordinary 16C","Proper 20C/ Ordinary 25C","Proper 20C/ Ordinary 25C","Proper 20C/ Ordinary 25C","Proper 11C/ Ordinary 16C",835
,"Proper 20C/ Ordinary 25C",,,,,836
"Jonah 2:1-9",,,"Proper 14A/ Ordinary 19A",,,837
"Jonah 3:1-10","Epiphany 3B","Epiphany 3B",,"Epiphany 3B","Epiphany 3B",838
"Jonah 3:10 - 4:11","Proper 20/ Ordinary 25A",,"Proper 20/ Ordinary 25A","Proper 20/ Ordinary 25A",,839
"Micah 3:5-12","Proper 26/ Ordinary 31A",,"Proper 26/ Ordinary 31A","Proper 26/ Ordinary 31A",,840
"Micah 4:1-5",,,"Easter 3B",,,841
"Micah 5:1-5","Advent 4C","Advent 4C","Advent 4C","Advent 4C","Advent 4C",842
"Micah 6:1-8","Epiphany 4A",,"Epiphany 4A","Epiphany 4A","Epiphany 4A",843
"Habakkuk 1:1-4; 2:1-4","Proper 22C/ Ordinary 27C","Proper 22C/ Ordinary 27C","Proper 22C/ Ordinary 27C","Proper 22C/ Ordinary 27C","Proper 26C/ Ordinary 31C",844
,"Proper 26C/ Ordinary 31C",,,,,845
"Habakkuk 3:1-19",,,"Epiphany 5A",,,846
"Zephaniah 1:7-18","Proper 28/ Ordinary 33A",,"Proper 28/ Ordinary 33A","Proper 28/ Ordinary 33A",,847
"Zephaniah 2:3 - 3:13",,"Epiphany 4A","Easter Vigil A",,,848
,,,"Easter Vigil B",,,849
,,,"Easter Vigil C",,,850
"Zephaniah 3:14-20","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A",851
,"Easter Vigil B","Easter Vigil B","Easter Vigil B","Easter Vigil B","Easter Vigil B",852
,"Advent 3C","Advent 3C","Advent 3C","Advent 3C","Advent 3C",853
,"Easter Vigil C","Easter Vigil C","Easter Vigil C","Easter Vigil C","Easter Vigil C",854
"Haggai 1:15 - 2:9","Proper 27C/ Ordinary 32C",,,,"Proper 27C/ Ordinary 32C",855
"Zechariah 9:9-12","Proper 9A/ Ordinary 14A","Proper 9A/ Ordinary 14A","Proper 9A/ Ordinary 14A","Proper 9A/ Ordinary 14A",,856
"Zechariah 12:8 - 13:1",,,"Proper 7C/ Ordinary 12C",,,857
"Zechariah 14:4-9",,,"Advent 1C",,,858
"Malachi 1:14 - 2:10",,"Proper 26/ Ordinary 31A",,,,859
"Malachi 3:1-20","Advent 2C","Proper 28C/ Ordinary 33C","Proper 28C/ Ordinary 33C","Advent 2C","Advent 2C",860
"Malachi 4:1-6","Proper 28C/ Ordinary 33C",,"Proper 28C/ Ordinary 33C","Proper 28C/ Ordinary 33C",,861
"Wisdom of Solomon 1:13 - 2:24","Proper 8/ Ordinary 13B","Proper 8/ Ordinary 13B","Good Friday A","Proper 8/ Ordinary 13B",,862
,"Proper 20/ Ordinary 25B","Proper 20/ Ordinary 25B","Good Friday B","Proper 20/ Ordinary 25B",,863
,,,"Proper 20/ Ordinary 25B",,,864
,,,"Good Friday C",,,865
"Wisdom of Solomon 3:1-9","All Saints B",,,,,866
"Wisdom of Solomon 6:12-16","Proper 27/ Ordinary 32A","Proper 27/ Ordinary 32A",,"Proper 27/ Ordinary 32A",,867
"Wisdom of Solomon 6:17-20","Proper 27/ Ordinary 32A",,,"Proper 27/ Ordinary 32A",,868
"Wisdom of Solomon 7:7-11",,"Proper 23B/ Ordinary 28B",,,,869
"Wisdom of Solomon 7:26 - 8:1","Proper 19/ Ordinary 24B",,,,,870
"Wisdom of Solomon 9:13-18",,"Proper 18C/ Ordinary 23C",,,,871
"Wisdom of Solomon 10:15-21","Christmas 2A",,,"Christmas 2A","Christmas 2A",872
,"Christmas 2B",,,"Christmas 2B","Christmas 2B",873
,"Christmas 2C",,,"Christmas 2C","Christmas 2C",874
"Wisdom of Solomon 11:22 - 12:1",,"Proper 26C/ Ordinary 31C",,,,875
"Wisdom of Solomon 12:13-19","Proper 11A/ Ordinary 16A","Proper 11A/ Ordinary 16A","Proper 11A/ Ordinary 16A","Proper 11A/ Ordinary 16A",,876
"Wisdom of Solomon 18:6-9",,"Proper 14C/ Ordinary 19C",,,,877
"Sirach 2:1-11",,,"All Saints A (Service 2) ",,,878
,,,"All Saints B (Service 2)",,,879
,,,"All Saints C (Service 2)",,,880
"Sirach 3:2-14",,"Christmas 1A",,,,881
,,"Christmas 1B",,,,882
,,"Christmas 1C",,,,883
"Sirach 3:17-29",,"Proper 17C/ Ordinary 22C",,,,884
"Sirach 10:7-18 ","Proper 17C/ Ordinary 22C",,"Proper 17C/ Ordinary 22C","Proper 17C/ Ordinary 22C",,885
"Sirach 15:15-20","Epiphany 6A","Epiphany 6A","Epiphany 6A","Epiphany 6A","Epiphany 6A",886
"Sirach 24:1-12","Christmas 2A","Christmas 2A",,"Christmas 2A","Christmas 2A",887
,"Christmas 2B","Christmas 2B",,"Christmas 2B","Christmas 2B",888
,"Christmas 2C","Christmas 2C",,"Christmas 2C","Christmas 2C",889
"Sirach 27:4-7","Epiphany 8C","Epiphany 8C",,"Epiphany 8C","Epiphany 8C",890
"Sirach 27:30 - 28:7",,"Proper 19/ Ordinary 24A","Proper 19/ Ordinary 24A",,,891
"Sirach 35:12-18","Proper 25C/ Ordinary 30C","Proper 25C/ Ordinary 30C",,"Proper 25C/ Ordinary 30C",,892
"Sirach 44:1-14",,,"All Saints A (Service 1) ",,,893
,,,"All Saints B (Service 1)",,,894
,,,"All Saints C (Service 1)",,,895
"Sirach 50:22-24",,"Thanksgiving A",,,,896
"Baruch 3:9 - 4:4","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A",897
,"Easter Vigil B","Easter Vigil B","Easter Vigil B","Easter Vigil B","Easter Vigil B",898
,"Easter Vigil C","Easter Vigil C","Easter Vigil C","Easter Vigil C","Easter Vigil C",899
"Baruch 5:1-9","Advent 2C","Advent 2C","Advent 2C","Advent 2C",,900
"2 Maccabees 7:1-14",,"Proper 27C/ Ordinary 32C",,,,901
"Matthew 1:18-25","Advent 4A","Advent 4A","Advent 4A","Advent 4A","Advent 4A",902
"Matthew 2:1-12","Epiphany A","Epiphany A","Christmas 2A","Epiphany A","Epiphany A",903
,"Epiphany B","Epiphany B","Epiphany A","Epiphany B","Epiphany B",904
,"Epiphany C","Epiphany C","Christmas 2B","Epiphany C","Epiphany C",905
,,,"Epiphany B",,,906
,,,"Christmas 2C",,,907
,,,"Epiphany C",,,908
"Matthew 2:13-23","Christmas 1A","Christmas 1A","Christmas 2A","Christmas 1A","Christmas 1A",909
,,,"Christmas 2B",,,910
,,,"Christmas 2C",,,911
"Matthew 3:1-12","Advent 2A","Advent 2A","Advent 2A","Advent 2A","Advent 2A",912
"Matthew 3:13-17","Baptism A","Baptism A","Baptism A","Baptism A","Baptism A",913
"Matthew 4:1-11","Lent 1A","Lent 1A","Lent 1A","Lent 1A","Lent 1A",914
"Matthew 4:12-23","Epiphany 3A","Epiphany 3A","Epiphany 3A","Epiphany 3A","Epiphany 3A",915
"Matthew 5:1-12","Epiphany 4A","Epiphany 4A","Epiphany 4A","Epiphany 4A","Epiphany 4A",916
,"All Saints A","All Saints A","All Saints A (service 1) ","All Saints A","All Saints A",917
,,"All Saints B","All Saints B (service 1)",,,918
,,"All Saints C","All Saints C (service 1)",,,919
"Matthew 5:13-20","Epiphany 5A","Epiphany 5A","Epiphany 5A","Epiphany 5A","Epiphany 5A",920
